snapshot_date,tag,published_at,asset,download_count,size
2026-04-15,"v0.8.6","2026-04-11T20:01:24Z","latest.json",0,5544
2026-04-15,"v0.8.4","2026-04-11T16:47:16Z","Kirodex-0.8.4-1.x86_64.rpm",1,3789595
2026-04-15,"v0.8.4","2026-04-11T16:47:16Z","Kirodex_0.8.4_aarch64.dmg",2,3148353
2026-04-15,"v0.8.4","2026-04-11T16:47:16Z","Kirodex_0.8.4_amd64.AppImage",1,83282424
2026-04-15,"v0.8.4","2026-04-11T16:47:16Z","Kirodex_0.8.4_amd64.deb",1,3789108
2026-04-15,"v0.8.4","2026-04-11T16:47:16Z","Kirodex_0.8.4_x64-setup.exe",1,2681424
2026-04-15,"v0.8.4","2026-04-11T16:47:16Z","Kirodex_0.8.4_x64_en-US.msi",1,3555328
2026-04-15,"v0.8.4","2026-04-11T16:47:16Z","Kirodex_aarch64.app.tar.gz",1,3127552
2026-04-15,"v0.8.3","2026-04-11T15:03:42Z","Kirodex-0.8.3-1.x86_64.rpm",0,3786686
2026-04-15,"v0.8.3","2026-04-11T15:03:42Z","Kirodex_0.8.3_aarch64.dmg",3,3148740
2026-04-15,"v0.8.3","2026-04-11T15:03:42Z","Kirodex_0.8.3_amd64.AppImage",0,83282424
2026-04-15,"v0.8.3","2026-04-11T15:03:42Z","Kirodex_0.8.3_amd64.deb",0,3786402
2026-04-15,"v0.8.3","2026-04-11T15:03:42Z","Kirodex_0.8.3_x64-setup.exe",0,2678556
2026-04-15,"v0.8.3","2026-04-11T15:03:42Z","Kirodex_0.8.3_x64_en-US.msi",0,3551232
2026-04-15,"v0.8.3","2026-04-11T15:03:42Z","Kirodex_aarch64.app.tar.gz",0,3124217
2026-04-15,"v0.8.1","2026-04-11T14:48:23Z","Kirodex-0.8.1-1.x86_64.rpm",0,3800429
2026-04-15,"v0.8.1","2026-04-11T14:48:23Z","Kirodex_0.8.1_aarch64.dmg",4,3215580
2026-04-15,"v0.8.1","2026-04-11T14:48:23Z","Kirodex_0.8.1_amd64.AppImage",0,83302904
2026-04-15,"v0.8.1","2026-04-11T14:48:23Z","Kirodex_0.8.1_amd64.deb",0,3799684
2026-04-15,"v0.8.1","2026-04-11T14:48:23Z","Kirodex_0.8.1_x64-setup.exe",0,2681825
2026-04-15,"v0.8.1","2026-04-11T14:48:23Z","Kirodex_0.8.1_x64_en-US.msi",0,3657728
